Papel;Empresa;Setor;Subsetor;Cotação;Valor da Firma;Valor de Mercado;Número de Ações;P/L;Div. Yield;EV/EBITDA;EV/EBIT;ROE;ROIC;Lucro Líquido (ano)
KLBN4;KLABIN PN N2;Madeira e Papel;Papel e Celulose;508;48.991.200.000;28.186.400.000;5.548.500.000;-1006;1,9;1027;2133;-100,5;8,8;-2.802.130.000
AMAR3;LOJAS MARISA ON NM;Comércio;Tecidos, Vestuário e Calçados;796;3.083.920.000;2.082.870.000;261.667.000;-949;0,0;484;989;-16,6;11,2;-219.475.000
PETR3;PETROBRAS ON;Petróleo, Gás e Biocombustíveis;Exploração e/ou Refino e Distribuição;2308;691.072.000.000;301.067.000.000;13.044.500.000;-886;1,9;459;809;-14,0;9,7;-33.996.000.000
PETR4;PETROBRAS PN;Petróleo, Gás e Biocombustíveis;Exploração e/ou Refino e Distribuição;2256;684.289.000.000;294.284.000.000;13.044.500.000;-866;2,8;455;801;-14,0;9,7;-33.996.000.000
VLID3;VALID ON NM;Serviços;Serviços Diversos;1110;1.604.570.000;790.598.000;71.225.000;-708;6,3;589;1209;-9,7;5,8;-111.708.000
MDNE3;MOURA DUBEUX ON NM;Construção e Engenharia;Construção Civil;940;919.253.000;798.145.000;84.909.000;-464;0,0;4533;5412;-17,4;0,9;-171.907.000
TASA4;TAURUS ARMAS PN;Máquinas e Equipamentos;Armas e Munições;603;1.336.080.000;533.589.000;88.489.000;-436;0,0;729;816;33,2;16,0;-122.338.000
TPIS3;TRIUNFO PARTICIPACOES SA ON NM;Transporte;Exploração de Rodovias;131;2.021.450.000;230.560.000;176.000.000;-430;0,0;516;-33663;-7,6;-0,2;-53.637.000
SUZB3;Suzano Papel ON;Madeira e Papel;Papel e Celulose;5215;139.114.000.000;70.989.900.000;1.361.260.000;-399;0,0;1285;2818;-713,3;5,3;-17.770.900.000
TCSA3;TECNISA ON NM;Construção e Engenharia;Construção Civil;1133;936.501.000;834.103.000;73.619.000;-396;0,0;-1098;-1005;-25,0;-6,7;-210.441.000
SHOW3;TIME FOR FUN ON NM;Viagens e Lazer;Produção de Eventos e Shows;265;121.438.000;178.644.000;67.413.000;-311;0,0;-1462;-426;-22,3;-7,6;-57.496.000
TESA3;TERRA SANTA ON NM;Agropecuária;Agricultura;1775;1.341.170.000;384.412.000;21.657.000;-309;0,0;564;772;-16,2;8,1;-124.325.000
BRKM5;BRASKEM PNA N1;Químicos;Petroquímicos;2419;49.176.300.000;19.284.700.000;797.219.000;-186;3,5;898;3011;306,8;2,8;-10.369.200.000
GOLL4;GOL LINHAS AEREAS INTELIGENTES SA PN;Transporte;Transporte Aéreo;1771;15.388.200.000;6.299.940.000;355.728.000;-151;0,0;575;2049;32,1;6,6;-4.175.530.000
EMBR3;EMBRAER ON;Material de Transporte;Material Aeronáutico;724;15.221.800.000;5.360.970.000;740.465.000;-129;0,0;967;8708;-26,2;0,4;-4.141.560.000
LLIS3;LE LIS BLANC DEUX ON;Comércio;Tecidos, Vestuário e Calçados;550;1.870.150.000;378.681.000;68.851.000;-099;0,0;355;-570;-51,9;-14,0;-380.915.000
SGPS3;Springs ON NM;Tecidos, Vestuário e Calçados;Fios e Tecidos;697;1.107.370.000;348.500.000;50.000.000;-098;0,0;790;1985;-30,4;2,0;-355.784.000
VIVR3;VIVER ON NM;Construção e Engenharia;Construção Civil;151;335.231.000;143.704.000;95.168.000;-088;0,0;-587;-562;106,3;-13,0;-163.904.000
OIBR4;OI ON N1;Telefonia Fixa;Telefonia Fixa;240;34.365.300.000;14.290.100.000;5.954.210.000;-081;0,0;674;-1915;-219,2;-2,9;-17.699.200.000
LUPA3;LUPATECH ON NM;Máquinas e Equipamentos;Motores, Compressores e Outros;220;220.107.000;56.863.400;25.847.000;-079;0,0;-933;-667;-95,1;-6,7;-71.921.000
TECN3;TECHNOS ON NM;Tecidos, Vestuário e Calçados;Acessórios;106;168.062.000;83.216.400;78.506.000;-064;0,0;-311;-403;-39,8;-7,6;-130.158.000
AZUL4;AZUL PN;Transporte;Transporte Aéreo;2169;25.021.600.000;7.419.930.000;342.090.000;-061;0,0;2215;-915;96,3;-25,0;-12.177.300.000
OIBR3;OI ON N1;Telefonia Fixa;Telefonia Fixa;172;30.316.400.000;10.241.200.000;5.954.210.000;-058;0,0;595;-1690;-219,2;-2,9;-17.699.200.000
PMAM3;PARANAPANEMA S.A. ON;Siderurgia e Metalurgia;Artefatos de Cobre;1183;3.242.990.000;513.469.000;43.404.000;-055;0,0;-4859;-1520;468,8;-6,7;-935.219.000
DMMO3;DOMMO ON;Petróleo, Gás e Biocombustíveis;Exploração e/ou Refino e Distribuição;127;910.560.000;342.951.000;270.040.000;-049;0,0;-2291;-897;65,9;-12,0;-696.252.000
RSID3;ROSSI RESIDENCIAL ON N1;Construção e Engenharia;Construção Civil;600;1.435.170.000;102.920.000;17.153.300;-046;0,0;-1888;-1743;34,0;-4,9;-221.594.000
BBRK3;BR Brokers ON NM;Construção e Engenharia;Intermediação Imobiliária;192;21.314.300;69.654.300;36.278.300;-046;0,0;-129;-074;-90,9;-11,1;-151.230.000
AMBP3;AMBIPAR ON NM;Água e Saneamento;Água e Saneamento;2950;3.640.830.000;3.331.610.000;112.936.000;000;0,0;-;-;-;-;0
AURA32;AURA 360 DR2;Mineração;Minerais Metálicos;97500;-;0;0;000;0,0;-;-;-;-;0
BBSE3;BBSEGURIDADE ON NM;Previdência e Seguros;Seguradoras;2663;-;53.260.000.000;2.000.000.000;000;15,5;-;-;-;-;0
